description,location,date,category
Misdemeanor sexual abuse reported near the 500 block of W Street NW at 7:19 pm. Victim was touched inappropriately while exiting a bus.,500 block of W Street NW,4/6/26,Sexual Misconduct
MPD is investigating a shooting in the 200 block of V Street NW around 01:40 a.m. One person was injured and walked into the hospital.,200 block of V Street NW,4/6/26,Shooting
Dumpster fire at the rear of the Chemistry Building in the 500 block of College Street NW at approximately 04:10 AM.,500 block of College Street NW,4/6/26,Safety Hazard
Robbery reported near Howard Plaza Towers at 11:30 PM. Suspect fled on foot.,Howard Plaza Towers,3/12/26,Theft
Suspicious person observed near Founders Library asking students to open side doors.,Founders Library,3/10/26,Suspicious Activity
Bike theft reported on Georgia Ave NW outside residence hall entrance.,Georgia Ave NW,3/8/26,Theft
Fire alarm and smoke odor reported in Blackburn Center food court.,Blackburn Center,3/6/26,Safety Hazard
"The Metropolitan Police Department (MPD) is investigating a misdemeanor sexual abuse that occurred near the 500 block of W Street NW at 7:19 pm. The victim was exiting the bus and the subject approached her and engaged in a brief conversation.  He then proceeded to touch the victim inappropriately. The suspect is a black male, approximately 5'6"" tall, wearing a dark colored raincoat and adidas sneakers.",500 Block of W St NW,1/7/26,Sexual Abuse
"The Metropolitan Police Department (MPD) is investigating a shooting that occurred in the 200 block of V Street N.W. around 01:40 a.m. There was one person injured who walked into the hospital. The lookout is for a Black male, slim build, between 20 - 30 years old, wearing all black clothing and a black beanie. This is non-Howard related.  No further information at this time.",200 block of V Street NW,12/12/25,Shooting
The Metropolitan Police Department (MPD) is investigating a shooting that occurred near the 2500 block of Georgia Ave. and the 600 block of Howard Place NW at 8:22 pm. There were several people injured during the shooting and they were taken to a local hospital; two suspects were taken into custody.  ,2500 Block of Georgia Ave. & 600 Block of Howard Pl. NW,10/24/25,Shooting
The Metropolitan Police Department (MPD) and DC Fire Department (DC FEMS) are investigating a dumpster fire that occurred at the rear of the Chemistry Building located in the 500 Block of College Street NW at approximately 04:10 AM.,500 block of College Street NW,8/25/25,Fire
The Metropolitan Police Department is actively investigating a series of Theft from Auto and Motor Vehicle Thefts incidents that have occurred citywide and around the HU community. Please keep in mind most theft from autos and motor vehicle thefts are typically crimes of opportunity.  HUDPS is urging everyone to do their part in helping to keep your property safe and the HU Community safe.   ,n/a,8/18/25,Theft
"The Metropolitan Police Department (MPD) is investigating a robbery that occurred near the intersection of 8th & V Street NW, at 11:10 p.m. Lookout is for a black male, dark complexion, wearing dark clothing, dread locks (tied up) and standing at approximately 6'1"" - 6'2"".  This is non-Howard related.  No injuries were reported.  No further information at this time.",8th & V St. NW,8/4/25,Robbery
"The Metropolitan Police Department (MPD) is investigating a shooting that occurred in the 1200 Block of 9th Street Northwest at approximately 2231 hours where two victims sustained injuries.  Additionally, there is a crime scene believed to be related to this matter in the 1200 Block of 7th Street and the 1500 Block of 7th Street NW.",1200 block of 9th st. NW,6/30/25,Shooting
The DC Metropolitan Police Department is investigating a shooting that occurred in the 2200  Block of Florida Ave NW.  There was one person injured during this offense.,2200 Block of Florida Ave NW,5/29/25,Shooting
The DC Metropolitan Police Department is investigating a shooting that occurred in the 700 Block of Gresham Street NW. There was one person injured during this offense.  ,700 Block of Gresham st. NW,3/31/25,Shooting
"The Metropolitan Police Department is investigating an incident for sounds of gun shots and multiple shell casings were found at 6:46 PM, in the 200 block of W Street NW. There was not any victims on the scene. ",200 Block of W St. NW,3/28/25,Shots Fired
"The Metropolitan Police Department (MPD) is investigating a shooting that occurred in the 200 block of W Street NW in LeDroit Park at 9:06 p.m. Lookout for a Black Mercedes S550 with DC tags.  Three black males, all wearing mask and dark clothing were seen fleeing the scene through LeDroit Park.  ",200 Block of W St. NW,2/26/25,Shooting
"The Metropolitan Police Department (MPD) is investigating a shooting that occurred in the 900 Block of 9th Street Northwest at approximately 0413 hours in the vicinity of the Whole Foods store. The preliminary investigation is that four black male subjects were involved as they traveled in a vehicle; however, only one of them exited the vehicle and injured the victim.  The victim was transported to the local hospital.  Lookout is for a Black male subject, slender build, lite complexion as he appeared to be in his early twenties and armed with a handgun.  There is no description provided for the other suspects or the vehicle they traveled in.",900 Block of 9th St NW,2/15/25,Shooting
"The Metropolitan Police Department (MPD) is investigating an armed robbery that occurred near the intersection of Georgia Avenue & Euclid Street NW, at 05:00 a.m. Lookout is for three males, all wearing black ski mask and standing at approximately 5'8"" and 5'9"".  One of the suspects brandished a handgun at the victim and stole several personal items.  Some of the items were recovered.  The suspects fled the scene onto Georgia Ave. and headed Southbound and turned left onto Howard Street. This is a Howard related matter.  No injuries were reported.  No further information at this time.",Georgia Ave. & Euclid St. NW,1/27/25,Armed Robbery
"The Metropolitan Police Department (MPD) is investigating a shooting that occurred on 2nd & W Street N.W. between 3:30 - 3:45 p.m. There was one person injured, and the victim was transported to the hospital. There is no lookout information available. This is Howard related.  No further information at this time.",2nd & W St NW,1/17/25,Shooting
"The Metropolitan Police Department (MPD) is investigating an armed robbery that occurred near the intersection of Georgia Avenue & Howard PL NW, at 1531 hours. Lookout is for a #1 Tall Black Male, wearing all black attire, armed with a handgun, #2 Short Black Male wearing all black attire. This is Howard related matter.  No further information at this time.",Georgia Ave & Howard Pl NW,1/17/25,Armed Robbery
"The Metropolitan Police Department (MPD) is investigating an Armed Robbery that occurred on 1/16/2025, in the 400 block of College Street NW, at 10:24 p.m. Lookout is for nine black males, one wearing a white face mask and the other eight wearing black ski mask.  All suspects were slim build and approximately 5'8"" in height.  One of the suspects was armed with an AR-15, wearing a white sweater and a black jacket.  The suspects took the complainant's personal property and fled the scene. All suspects were last seen on foot Northbound on College Street towards LeDroit Park. This incident is Howard related. ",400 Block of College St NW,1/16/25,Armed Robbery
"The Metropolitan Police Department (MPD) and DC Fire Department (DC FEMS) are investigating a Fire that occurred at the rear of the Axis loading dock area located in the 2300 Block of Georgia Avenue NW at approximately 8:30 PM. Lookout is for a Black male, wearing a black jacket with a white zipper and gray hoodie. No further information at this time.",2300 Block of Georgia Ave NW,12/12/24,Fire
"The Metropolitan Police Department and Howard University Public Safety are investigating a Motor Vehicle Theft that occurred in the 2600 Block of 6th Street NW, the vehicle was stolen during business hours.  The vehicle is described as a Black 4 door Hyundai Sonata, bearing MD-6BZ7240.",2600 Block of 6th St. NW,12/11/24,Motor Theft
"The Metropolitan Police Department (MPD) and DC Fire Department (DC FEMS) are actively investigating a fire that occurred in the breezeway at Wonder Plaza (iLab) at 9:01 p.m. There are no suspects, and no injuries reported. This incident is related to Howard University. No further details are available at this time. Please avoid the area.",Wonder Plaza,12/6/24,Fire
